Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"N1136668", 12.47, 2,    7433.53, -166.5,    1.0325, 0, 0, 0, 0, 0, 0, 0, 0
"M1027114", 12.47, 1,    7154.59,  -45.1,   0.99375, 0, 0, 0, 0, 0, 0, 0, 0
"L3195327", 12.47, 1,    7154.39,  -45.1,   0.99373, 0, 0, 0, 0, 0, 0, 0, 0
"M1027121", 12.47, 1,    7151.97,  -45.1,   0.99339, 0, 0, 0, 0, 0, 0, 0, 0
"M1027123", 12.47, 1,    7151.94,  -45.1,   0.99339, 0, 0, 0, 0, 0, 0, 0, 0
"L3104157", 12.47, 3,    7404.98,   79.9,    1.0285, 0, 0, 0, 0, 0, 0, 0, 0
"P895409", 12.47, 3,    7380.57,   79.5,    1.0251, 0, 0, 0, 0, 0, 0, 0, 0
"D6138608-3_INT", 12.47, 1,    6958.13,  -39.9,   0.96647, 2,    6930.34, -160.4,   0.96261, 3,    7248.84,   80.7,    1.0068
"Q14404", 12.47, 1,    6958.07,  -39.9,   0.96646, 2,    6930.26, -160.4,   0.96259, 3,    7248.78,   80.7,    1.0068
"L2991927", 12.47, 2,    7250.78, -167.3,    1.0071, 0, 0, 0, 0, 0, 0, 0, 0
"M1089155", 12.47, 3,    7305.24,   81.4,    1.0147, 0, 0, 0, 0, 0, 0, 0, 0
"M1089158", 12.47, 3,    7299.92,   81.3,    1.0139, 0, 0, 0, 0, 0, 0, 0, 0
"M1026324", 12.47, 2,    7050.25, -162.0,   0.97926, 0, 0, 0, 0, 0, 0, 0, 0
"M1026323", 12.47, 2,    7046.96, -162.0,    0.9788, 0, 0, 0, 0, 0, 0, 0, 0
"L2804258", 12.47, 2,    7166.96, -167.1,   0.99547, 0, 0, 0, 0, 0, 0, 0, 0
"P829978", 12.47, 1,    7260.63,  -37.5,    1.0085, 0, 0, 0, 0, 0, 0, 0, 0
"L2992656", 12.47, 1,    7260.17,  -37.5,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0
"L2936271", 12.47, 1,    7166.77,  -38.7,   0.99545, 2,    7203.52, -159.0,    1.0005, 3,    7445.64,   82.2,    1.0342
"M1069544", 12.47, 2,     7277.7, -165.3,    1.0109, 0, 0, 0, 0, 0, 0, 0, 0
"L2916598", 12.47, 1,     7325.8,  -44.8,    1.0175, 0, 0, 0, 0, 0, 0, 0, 0
"L2954344", 12.47, 3,    7306.75,   79.2,    1.0149, 0, 0, 0, 0, 0, 0, 0, 0
"L2897767", 12.47, 3,    7306.48,   79.2,    1.0149, 0, 0, 0, 0, 0, 0, 0, 0
"L2876796", 12.47, 1,    7347.59,  -44.1,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0
"M1047756", 12.47, 1,    7346.84,  -44.1,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0
"L3122810", 12.47, 2,    7142.42, -167.1,   0.99206, 0, 0, 0, 0, 0, 0, 0, 0
"M1108379", 12.47, 1,    6873.08,  -40.5,   0.95465, 2,    7058.07, -161.5,   0.98035, 3,    7455.03,   81.7,    1.0355
"N1140822", 12.47, 3,    7265.44,   79.7,    1.0092, 0, 0, 0, 0, 0, 0, 0, 0
"L2860478", 12.47, 2,    7267.44, -167.2,    1.0094, 0, 0, 0, 0, 0, 0, 0, 0
"L2822858", 12.47, 2,    7267.27, -167.2,    1.0094, 0, 0, 0, 0, 0, 0, 0, 0
"L2841620", 12.47, 2,    7221.62, -161.6,    1.0031, 0, 0, 0, 0, 0, 0, 0, 0
"L3727709", 12.47, 1,    7358.78,  -44.4,    1.0221, 0, 0, 0, 0, 0, 0, 0, 0
"L3727710", 12.47, 1,    7358.59,  -44.4,    1.0221, 0, 0, 0, 0, 0, 0, 0, 0
"N1136667", 12.47, 1,    7438.01,  -44.4,    1.0331, 2,    7444.78, -166.5,    1.0341, 3,    7425.05,   79.6,    1.0313
"196-29519", 12.47, 1,    7434.24,  -44.4,    1.0326, 2,    7441.52, -166.5,    1.0336, 3,    7423.86,   79.6,    1.0312
"N1144666", 12.47, 3,    7310.07,   79.4,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"M1125989", 12.47, 1,    6912.28,  -40.3,    0.9601, 2,    7086.87, -161.3,   0.98435, 3,    7456.53,   81.8,    1.0357
"L2898495", 12.47, 1,    6870.34,  -40.5,   0.95427, 2,     7053.2, -161.5,   0.97967, 3,    7453.48,   81.7,    1.0353
"L3179674", 12.47, 2,    7377.33, -156.5,    1.0247, 0, 0, 0, 0, 0, 0, 0, 0
"REGXFMR_190-7361", 12.47, 1,    6957.52,  -39.9,   0.96638, 2,    6929.56, -160.4,    0.9625, 3,    7248.29,   80.7,    1.0068
"M1069249", 12.47, 3,    7267.08,   78.8,    1.0094, 0, 0, 0, 0, 0, 0, 0, 0
"L2803194", 12.47, 3,    7266.65,   78.8,    1.0093, 0, 0, 0, 0, 0, 0, 0, 0
"M1186065", 12.47, 1,    7363.21,  -36.4,    1.0227, 2,    7380.77, -156.5,    1.0252, 3,    7506.41,   84.2,    1.0426
"M1186064", 12.47, 1,    7363.12,  -36.4,    1.0227, 2,    7380.51, -156.5,    1.0251, 3,     7506.5,   84.2,    1.0426
"D6231996-1_INT", 12.47, 2,     7254.2, -165.4,    1.0076, 0, 0, 0, 0, 0, 0, 0, 0
"E206614", 12.47, 2,    7254.16, -165.4,    1.0076, 0, 0, 0, 0, 0, 0, 0, 0
"M1209776", 12.47, 1,    7363.09,  -36.4,    1.0227, 2,    7380.43, -156.5,    1.0251, 3,    7506.45,   84.2,    1.0426
"M1209775", 12.47, 1,    7363.07,  -36.4,    1.0227, 2,    7380.37, -156.5,    1.0251, 3,    7506.38,   84.2,    1.0426
"L2804261", 12.47, 3,    7405.85,   79.9,    1.0287, 0, 0, 0, 0, 0, 0, 0, 0
"L3178980", 12.47, 3,     7405.7,   79.9,    1.0286, 0, 0, 0, 0, 0, 0, 0, 0
"M1047835", 12.47, 2,    7137.96, -167.1,   0.99144, 0, 0, 0, 0, 0, 0, 0, 0
"M1047836", 12.47, 2,    7137.34, -167.1,   0.99136, 0, 0, 0, 0, 0, 0, 0, 0
"M1125962", 12.47, 1,    6994.32,  -39.7,   0.97149, 2,    7129.19, -160.5,   0.99023, 3,    7456.69,   82.0,    1.0357
"L3123452", 12.47, 1,    6977.04,  -39.8,   0.96909, 2,    7119.82, -160.6,   0.98892, 3,    7456.63,   81.9,    1.0357
"P893610", 12.47, 2,    7165.45, -159.4,   0.99526, 0, 0, 0, 0, 0, 0, 0, 0
"M1108302", 12.47, 2,    7164.67, -159.4,   0.99515, 0, 0, 0, 0, 0, 0, 0, 0
"P829797", 12.47, 1,    6837.42,  -40.9,    0.9497, 0, 0, 0, 0, 0, 0, 0, 0
"L2841629", 12.47, 3,    7428.83,   80.4,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"L3254218", 12.47, 1,    7295.97,  -40.8,    1.0134, 2,    7239.12, -161.6,    1.0055, 3,    7427.81,   79.8,    1.0317
"L3778577", 12.47, 3,    7299.58,   79.0,    1.0139, 0, 0, 0, 0, 0, 0, 0, 0
"L2820531", 12.47, 1,    7381.45,  -44.4,    1.0253, 2,    7403.97, -166.4,    1.0284, 3,    7363.14,   79.6,    1.0227
"L3626914", 12.47, 3,    7424.08,   80.4,    1.0312, 0, 0, 0, 0, 0, 0, 0, 0
"L2955077", 12.47, 1,    7161.47,  -38.5,   0.99471, 2,     7225.9, -158.9,    1.0037, 3,    7464.69,   82.6,    1.0368
"M1166374", 12.47, 1,    7259.58,  -37.5,    1.0083, 2,    7302.27, -157.7,    1.0143, 3,    7484.34,   83.4,    1.0396
"N1139552", 12.47, 1,    7257.12,  -44.6,     1.008, 2,    7394.97, -166.3,    1.0271, 3,    7288.84,   79.7,    1.0124
"P827533", 12.47, 2,    7245.54, -161.6,    1.0064, 0, 0, 0, 0, 0, 0, 0, 0
"N1139538", 12.47, 2,    7244.97, -161.6,    1.0063, 0, 0, 0, 0, 0, 0, 0, 0
"L3160098", 12.47, 1,    7297.79,  -42.6,    1.0136, 2,    7363.31, -164.3,    1.0227, 3,     7503.3,   80.6,    1.0422
"M1089213", 12.47, 1,    7287.96,  -42.7,    1.0123, 2,    7357.07, -164.5,    1.0219, 3,    7503.76,   80.5,    1.0423
"L2820590", 12.47, 3,    7401.22,   81.5,     1.028, 0, 0, 0, 0, 0, 0, 0, 0
"L3104125", 12.47, 1,    6985.11,  -39.8,   0.97021, 2,    6963.64, -160.3,   0.96723, 3,    7272.59,   80.8,    1.0101
"Q14411", 12.47, 1,     7342.6,  -44.4,    1.0199, 2,    7274.15, -166.8,    1.0104, 3,    7299.95,   79.0,    1.0139
"L3118855", 12.47, 1,    7280.45,  -42.7,    1.0112, 2,    7352.41, -164.6,    1.0212, 3,    7504.21,   80.5,    1.0423
"L3231255", 12.47, 1,    7275.71,  -42.8,    1.0106, 2,    7349.51, -164.6,    1.0208, 3,    7504.54,   80.5,    1.0424
"D5861005-2_INT", 12.47, 1,    7150.27,  -38.5,   0.99315, 2,    7219.34, -159.0,    1.0027, 3,    7463.88,   82.6,    1.0367
"M1027071", 12.47, 3,    7292.12,   79.3,    1.0129, 0, 0, 0, 0, 0, 0, 0, 0
"L3235241", 12.47, 3,    7292.06,   79.3,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0
"L2729409", 12.47, 2,    7250.09, -167.3,     1.007, 0, 0, 0, 0, 0, 0, 0, 0
"L2841624", 12.47, 2,    7249.95, -167.3,     1.007, 0, 0, 0, 0, 0, 0, 0, 0
"L3235254", 12.47, 1,    7365.85,  -44.6,    1.0231, 2,    7411.63, -166.7,    1.0295, 3,    7399.44,   79.6,    1.0278
"M1026855", 12.47, 1,    7358.01,  -44.7,     1.022, 2,    7408.26, -166.7,     1.029, 3,    7397.39,   79.6,    1.0275
"M1026851", 12.47, 1,    7318.45,  -44.8,    1.0165, 2,    7386.48, -166.9,     1.026, 3,     7386.6,   79.5,     1.026
"M1069466", 12.47, 1,    7349.63,  -44.4,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0
"M1069524", 12.47, 1,    7174.43,  -43.5,   0.99651, 0, 0, 0, 0, 0, 0, 0, 0
"M1027091", 12.47, 1,    7173.07,  -45.0,   0.99632, 0, 0, 0, 0, 0, 0, 0, 0
"M1027092", 12.47, 1,    7173.07,  -45.0,   0.99632, 0, 0, 0, 0, 0, 0, 0, 0
"L2766747", 12.47, 1,    7217.23,  -44.9,    1.0025, 0, 0, 0, 0, 0, 0, 0, 0
"P827560", 12.47, 1,    7221.69,  -44.7,    1.0031, 0, 0, 0, 0, 0, 0, 0, 0
"L2822877", 12.47, 1,    7332.73,  -44.3,    1.0185, 2,     7230.4, -167.0,    1.0043, 3,    7285.72,   78.9,     1.012
"N1138598", 12.47, 1,    7332.78,  -44.3,    1.0185, 2,    7229.25, -167.0,    1.0041, 3,    7285.39,   78.9,    1.0119
"M1009715", 12.47, 1,    7224.55,  -44.9,    1.0035, 0, 0, 0, 0, 0, 0, 0, 0
"M1009705", 12.47, 1,    7222.68,  -44.9,    1.0032, 0, 0, 0, 0, 0, 0, 0, 0
"L3198347", 12.47, 3,    7485.35,   83.6,    1.0397, 0, 0, 0, 0, 0, 0, 0, 0
"M1108489", 12.47, 1,    6817.06,  -41.1,   0.94687, 0, 0, 0, 0, 0, 0, 0, 0
"M1108492", 12.47, 1,    6817.02,  -41.1,   0.94687, 0, 0, 0, 0, 0, 0, 0, 0
"L3226771", 12.47, 1,    7226.91,  -44.6,    1.0038, 0, 0, 0, 0, 0, 0, 0, 0
"L3189190", 12.47, 1,    7226.64,  -44.6,    1.0038, 0, 0, 0, 0, 0, 0, 0, 0
"L2991918", 12.47, 2,    6993.12, -162.1,   0.97133, 0, 0, 0, 0, 0, 0, 0, 0
"L2954339", 12.47, 2,    6978.91, -162.1,   0.96935, 0, 0, 0, 0, 0, 0, 0, 0
"L3048200", 12.47, 2,    6978.24, -162.1,   0.96926, 0, 0, 0, 0, 0, 0, 0, 0
"L3160861", 12.47, 3,    7460.25,   82.4,    1.0362, 0, 0, 0, 0, 0, 0, 0, 0
"N1142098", 12.47, 1,    6837.38,  -40.9,   0.94969, 0, 0, 0, 0, 0, 0, 0, 0
"M1047795", 12.47, 2,     7171.3, -167.0,   0.99608, 0, 0, 0, 0, 0, 0, 0, 0
"M1047552", 12.47, 1,    7424.18,  -44.4,    1.0312, 2,    7433.55, -166.5,    1.0325, 3,     7420.5,   79.6,    1.0307
"L2804283", 12.47, 1,    7376.32,  -40.3,    1.0246, 0, 0, 0, 0, 0, 0, 0, 0
"L2916627", 12.47, 1,    7375.42,  -40.3,    1.0244, 0, 0, 0, 0, 0, 0, 0, 0
"L3029498", 12.47, 1,    7043.96,  -39.5,   0.97839, 2,    7032.28, -160.0,   0.97677, 3,    7321.43,   81.0,    1.0169
"M1047773", 12.47, 2,    7183.22, -167.0,   0.99773, 0, 0, 0, 0, 0, 0, 0, 0
"L2973152", 12.47, 2,    7179.62, -167.0,   0.99723, 0, 0, 0, 0, 0, 0, 0, 0
"L2822870", 12.47, 3,    7332.04,   79.6,    1.0184, 0, 0, 0, 0, 0, 0, 0, 0
"M1166369", 12.47, 1,    7260.67,  -37.5,    1.0085, 0, 0, 0, 0, 0, 0, 0, 0
"L2839305", 12.47, 1,    7260.31,  -37.5,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0
"L2710508", 12.47, 2,    7136.45, -167.1,   0.99123, 0, 0, 0, 0, 0, 0, 0, 0
"M1026861", 12.47, 1,    7355.15,  -44.7,    1.0216, 2,    7407.03, -166.7,    1.0288, 3,    7396.63,   79.6,    1.0274
"M1026858", 12.47, 1,    7342.54,  -44.7,    1.0199, 2,    7401.62, -166.8,    1.0281, 3,    7393.33,   79.6,    1.0269
"L3082992", 12.47, 1,    7168.16,  -44.8,   0.99564, 0, 0, 0, 0, 0, 0, 0, 0
"M1010011", 12.47, 1,     7144.8,  -45.1,   0.99239, 0, 0, 0, 0, 0, 0, 0, 0
"L3214069", 12.47, 1,    7003.08,  -39.6,   0.97271, 2,    7134.06, -160.4,    0.9909, 3,    7456.85,   82.0,    1.0357
"M1026655", 12.47, 1,    7218.48,  -44.7,    1.0026, 2,       7392, -166.3,    1.0267, 3,    7249.63,   79.7,     1.007
"N1141475", 12.47, 3,    7249.57,   79.7,    1.0069, 0, 0, 0, 0, 0, 0, 0, 0
"L3197643", 12.47, 2,    7057.83, -162.0,   0.98031, 0, 0, 0, 0, 0, 0, 0, 0
"M1026339", 12.47, 2,    7057.65, -162.0,   0.98029, 0, 0, 0, 0, 0, 0, 0, 0
"M1108268", 12.47, 2,    7422.75, -160.5,     1.031, 0, 0, 0, 0, 0, 0, 0, 0
"M1069310", 12.47, 1,    7337.44,  -44.3,    1.0192, 2,     7225.6, -166.9,    1.0036, 3,    7269.25,   78.8,    1.0097
"M1047423", 12.47, 1,    7174.58,  -44.8,   0.99653, 0, 0, 0, 0, 0, 0, 0, 0
"M1047420", 12.47, 1,    7173.54,  -44.8,   0.99639, 0, 0, 0, 0, 0, 0, 0, 0
"M1069613", 12.47, 2,    7223.71, -165.5,    1.0034, 0, 0, 0, 0, 0, 0, 0, 0
"M1026823", 12.47, 1,     7306.9,  -44.8,    1.0149, 0, 0, 0, 0, 0, 0, 0, 0
"L2879087", 12.47, 1,    7306.83,  -44.8,    1.0149, 0, 0, 0, 0, 0, 0, 0, 0
"D5806920-1_INT", 12.47, 2,    7307.86, -167.1,     1.015, 0, 0, 0, 0, 0, 0, 0, 0
"M1027039", 12.47, 1,    7188.08,  -45.0,   0.99841, 2,     7307.9, -167.1,     1.015, 3,     7312.5,   79.4,    1.0157
"L3552667", 12.47, 3,    7459.15,   82.3,    1.0361, 0, 0, 0, 0, 0, 0, 0, 0
"M1026890", 12.47, 1,     7324.9,  -44.8,    1.0174, 0, 0, 0, 0, 0, 0, 0, 0
"L2954357", 12.47, 1,    7324.72,  -44.8,    1.0174, 0, 0, 0, 0, 0, 0, 0, 0
"M1069438", 12.47, 1,    7344.25,  -44.4,    1.0201, 2,    7279.62, -166.8,    1.0111, 3,    7301.41,   79.0,    1.0141
"L2785530", 12.47, 1,    7220.98,  -44.7,     1.003, 0, 0, 0, 0, 0, 0, 0, 0
"L2822868", 12.47, 1,    7220.47,  -44.7,    1.0029, 0, 0, 0, 0, 0, 0, 0, 0
"N1139264", 12.47, 1,     7349.6,  -44.4,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0
"P827523", 12.47, 3,    7425.44,   80.4,    1.0314, 0, 0, 0, 0, 0, 0, 0, 0
"M1027087", 12.47, 1,    7173.93,  -45.0,   0.99644, 0, 0, 0, 0, 0, 0, 0, 0
"L2726983", 12.47, 1,     7173.7,  -45.0,   0.99641, 0, 0, 0, 0, 0, 0, 0, 0
"L2821087", 12.47, 1,    6866.99,  -40.5,   0.95381, 0, 0, 0, 0, 0, 0, 0, 0
"L2673310", 12.47, 1,    7375.04,  -40.3,    1.0244, 0, 0, 0, 0, 0, 0, 0, 0
"L2936212", 12.47, 1,    6837.29,  -40.9,   0.94968, 0, 0, 0, 0, 0, 0, 0, 0
"N1142106", 12.47, 2,    7435.73, -163.0,    1.0328, 0, 0, 0, 0, 0, 0, 0, 0
"L2936213", 12.47, 2,    7435.61, -163.0,    1.0328, 0, 0, 0, 0, 0, 0, 0, 0
"M1027011", 12.47, 1,    7199.07,  -45.0,   0.99993, 2,    7309.67, -167.1,    1.0153, 3,    7321.41,   79.4,    1.0169
"M1209795", 12.47, 3,    7522.34,   84.8,    1.0448, 0, 0, 0, 0, 0, 0, 0, 0
"L2746587", 12.47, 3,    7364.71,   79.5,    1.0229, 0, 0, 0, 0, 0, 0, 0, 0
"N1147858", 12.47, 3,     7364.4,   79.5,    1.0229, 0, 0, 0, 0, 0, 0, 0, 0
"M1108378", 12.47, 1,    6873.35,  -40.5,   0.95469, 2,    7058.84, -161.5,   0.98045, 3,    7455.07,   81.7,    1.0355
"M1047809", 12.47, 2,    7156.08, -167.0,   0.99396, 0, 0, 0, 0, 0, 0, 0, 0
"M1026805", 12.47, 1,    7299.17,  -44.9,    1.0138, 0, 0, 0, 0, 0, 0, 0, 0
"L3120502", 12.47, 1,    7298.16,  -44.9,    1.0137, 0, 0, 0, 0, 0, 0, 0, 0
"M1069526", 12.47, 2,     7276.9, -165.4,    1.0107, 0, 0, 0, 0, 0, 0, 0, 0
"L2673331", 12.47, 2,    7276.76, -165.4,    1.0107, 0, 0, 0, 0, 0, 0, 0, 0
"M1108490", 12.47, 1,     6817.1,  -41.1,   0.94688, 2,    7040.94, -162.2,   0.97797, 3,    7454.28,   81.4,    1.0354
"M1009805", 12.47, 1,    7244.46,  -44.9,    1.0062, 2,    7298.69, -167.2,    1.0138, 3,    7363.74,   79.5,    1.0228
"L3122816", 12.47, 1,    7266.37,  -44.9,    1.0093, 2,    7339.24, -167.1,    1.0194, 3,    7367.75,   79.5,    1.0234
"L3160103", 12.47, 1,    7242.08,  -44.9,    1.0059, 2,    7328.35, -167.1,    1.0179, 3,    7354.75,   79.4,    1.0216
"M1069503", 12.47, 1,    7229.38,  -43.1,    1.0041, 2,    7321.65, -165.1,     1.017, 3,    7507.93,   80.3,    1.0428
"N1134469", 12.47, 1,    7151.88,  -45.1,   0.99338, 0, 0, 0, 0, 0, 0, 0, 0
"M1089200", 12.47, 1,    7304.95,  -42.5,    1.0146, 0, 0, 0, 0, 0, 0, 0, 0
"L3027670", 12.47, 2,    7047.63, -161.6,    0.9789, 0, 0, 0, 0, 0, 0, 0, 0
"L2691941", 12.47, 3,    7291.76,   79.3,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0
"M1125960", 12.47, 1,    6996.06,  -39.7,   0.97173, 2,    7130.16, -160.4,   0.99036, 3,    7456.72,   82.0,    1.0357
"N1136367", 12.47, 1,    7193.82,  -43.5,    0.9992, 2,    7307.38, -165.5,     1.015, 3,    7501.82,   80.1,     1.042
"M1069515", 12.47, 1,    7186.36,  -43.5,   0.99817, 2,    7302.88, -165.5,    1.0144, 3,    7498.77,   80.1,    1.0416
"M1069131", 12.47, 1,    7303.17,  -40.7,    1.0144, 0, 0, 0, 0, 0, 0, 0, 0
"P827534", 12.47, 1,    7303.12,  -40.7,    1.0144, 0, 0, 0, 0, 0, 0, 0, 0
"M1069530", 12.47, 2,       7277, -165.4,    1.0108, 0, 0, 0, 0, 0, 0, 0, 0
"M1069184", 12.47, 1,    7419.48,  -40.2,    1.0305, 2,    7384.35, -160.7,    1.0257, 3,    7430.61,   80.4,    1.0321
"L3159645", 12.47, 1,    7389.23,  -44.3,    1.0263, 0, 0, 0, 0, 0, 0, 0, 0
"M1069632", 12.47, 2,    7227.27, -165.4,    1.0038, 0, 0, 0, 0, 0, 0, 0, 0
"P829957", 12.47, 3,    7530.86,   85.1,     1.046, 0, 0, 0, 0, 0, 0, 0, 0
"L3160863", 12.47, 3,    7519.88,   85.1,    1.0445, 0, 0, 0, 0, 0, 0, 0, 0
"P829963", 12.47, 2,    7186.24, -159.2,   0.99815, 0, 0, 0, 0, 0, 0, 0, 0
"M1010014", 12.47, 1,    7145.22,  -45.1,   0.99245, 0, 0, 0, 0, 0, 0, 0, 0
"N1137998", 12.47, 3,    7380.52,   79.5,    1.0251, 0, 0, 0, 0, 0, 0, 0, 0
"L3048199", 12.47, 2,    7137.12, -167.1,   0.99133, 0, 0, 0, 0, 0, 0, 0, 0
"L3067478", 12.47, 1,    6902.74,  -40.4,   0.95877, 2,     7082.3, -161.4,   0.98371, 3,    7456.62,   81.7,    1.0357
"M1125994", 12.47, 1,    6888.29,  -40.5,   0.95677, 2,    7075.29, -161.5,   0.98274, 3,     7456.8,   81.7,    1.0357
"M1047480", 12.47, 1,    7357.03,  -44.4,    1.0219, 2,    7331.88, -166.6,    1.0184, 3,    7320.83,   79.3,    1.0168
"M1069483", 12.47, 1,    7355.88,  -44.4,    1.0217, 2,     7324.8, -166.6,    1.0174, 3,    7317.25,   79.2,    1.0163
"L2841615", 12.47, 1,     7317.6,  -44.8,    1.0164, 0, 0, 0, 0, 0, 0, 0, 0
"L2673305", 12.47, 2,    7428.63, -160.5,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"M1047721", 12.47, 1,    7173.58,  -43.6,   0.99639, 0, 0, 0, 0, 0, 0, 0, 0
"M1026366", 12.47, 1,    7160.03,  -40.7,   0.99451, 0, 0, 0, 0, 0, 0, 0, 0
"L3104131", 12.47, 1,    7157.94,  -40.7,   0.99422, 0, 0, 0, 0, 0, 0, 0, 0
"L2973167", 12.47, 1,    7232.78,  -44.6,    1.0046, 2,    7392.51, -166.3,    1.0268, 3,    7272.96,   79.7,    1.0102
"M1027055", 12.47, 1,    7185.23,  -45.0,   0.99801, 2,    7308.49, -167.1,    1.0151, 3,    7311.46,   79.4,    1.0155
"N1134475", 12.47, 1,    7255.64,  -42.9,    1.0078, 2,    7337.44, -164.8,    1.0192, 3,     7506.1,   80.4,    1.0426
"L3067447", 12.47, 1,    6837.31,  -40.9,   0.94969, 0, 0, 0, 0, 0, 0, 0, 0
"M1108350", 12.47, 3,     7337.8,   81.4,    1.0192, 0, 0, 0, 0, 0, 0, 0, 0
"L3139598", 12.47, 2,    7202.37, -161.7,    1.0004, 0, 0, 0, 0, 0, 0, 0, 0
"N1140829", 12.47, 3,    7262.81,   79.7,    1.0088, 0, 0, 0, 0, 0, 0, 0, 0
"L3085397", 12.47, 2,    7166.44, -167.0,    0.9954, 0, 0, 0, 0, 0, 0, 0, 0
"N1139540", 12.47, 1,    7391.09,  -40.3,    1.0266, 0, 0, 0, 0, 0, 0, 0, 0
"L2748140", 12.47, 1,    7220.78,  -44.9,    1.0029, 0, 0, 0, 0, 0, 0, 0, 0
"L3141412", 12.47, 1,    7220.66,  -44.9,    1.0029, 0, 0, 0, 0, 0, 0, 0, 0
"M1069619", 12.47, 2,    7239.19, -165.4,    1.0055, 0, 0, 0, 0, 0, 0, 0, 0
"M1047769", 12.47, 2,    7194.26, -167.0,   0.99926, 0, 0, 0, 0, 0, 0, 0, 0
"L3197632", 12.47, 2,       7194, -167.0,   0.99923, 0, 0, 0, 0, 0, 0, 0, 0
"L2785524", 12.47, 3,    7412.74,   80.4,    1.0296, 0, 0, 0, 0, 0, 0, 0, 0
"P827495", 12.47, 2,    7182.81, -161.7,   0.99767, 0, 0, 0, 0, 0, 0, 0, 0
"L2991921", 12.47, 3,    7399.76,   79.9,    1.0278, 0, 0, 0, 0, 0, 0, 0, 0
"L2710510", 12.47, 3,    7426.93,   80.1,    1.0316, 0, 0, 0, 0, 0, 0, 0, 0
"L3197628", 12.47, 3,    7426.76,   80.1,    1.0316, 0, 0, 0, 0, 0, 0, 0, 0
"N1140831", 12.47, 3,    7252.59,   79.7,    1.0074, 0, 0, 0, 0, 0, 0, 0, 0
"N1136358", 12.47, 3,    7517.24,   80.2,    1.0441, 0, 0, 0, 0, 0, 0, 0, 0
"L3104119", 12.47, 1,    7356.87,  -44.4,    1.0219, 0, 0, 0, 0, 0, 0, 0, 0
"L2842329", 12.47, 3,    7456.44,   82.0,    1.0357, 0, 0, 0, 0, 0, 0, 0, 0
"M1125961", 12.47, 3,    7456.62,   82.0,    1.0357, 0, 0, 0, 0, 0, 0, 0, 0
"L2973791", 12.47, 1,    6863.93,  -40.7,   0.95338, 2,    7063.81, -161.7,   0.98114, 3,     7455.7,   81.6,    1.0356
"L3179650", 12.47, 1,     6856.2,  -40.7,   0.95231, 2,     7060.1, -161.8,   0.98063, 3,    7455.45,   81.6,    1.0355
"P860843", 12.47, 3,     7419.3,   81.6,    1.0305, 0, 0, 0, 0, 0, 0, 0, 0
"M1026961", 12.47, 1,    7223.29,  -44.9,    1.0033, 0, 0, 0, 0, 0, 0, 0, 0
"L2710516", 12.47, 1,    7222.56,  -44.9,    1.0032, 0, 0, 0, 0, 0, 0, 0, 0
"L3160864", 12.47, 2,    7205.82, -159.0,    1.0009, 0, 0, 0, 0, 0, 0, 0, 0
"M1047623", 12.47, 1,    7121.85,  -43.8,   0.98921, 0, 0, 0, 0, 0, 0, 0, 0
"L2748157", 12.47, 1,    7121.62,  -43.8,   0.98917, 0, 0, 0, 0, 0, 0, 0, 0
"L3048212", 12.47, 1,    7325.83,  -44.8,    1.0175, 0, 0, 0, 0, 0, 0, 0, 0
"L3122824", 12.47, 1,    7159.94,  -40.7,    0.9945, 0, 0, 0, 0, 0, 0, 0, 0
"L2879089", 12.47, 3,     7293.1,   79.3,     1.013, 0, 0, 0, 0, 0, 0, 0, 0
"L2937757", 12.47, 3,    7433.52,   84.9,    1.0325, 0, 0, 0, 0, 0, 0, 0, 0
"L3067448", 12.47, 3,    7433.22,   84.9,    1.0325, 0, 0, 0, 0, 0, 0, 0, 0
"193-46661", 12.47, 3,    7413.45,   79.5,    1.0297, 0, 0, 0, 0, 0, 0, 0, 0
"M1069390", 12.47, 1,    7330.25,  -44.3,    1.0182, 0, 0, 0, 0, 0, 0, 0, 0
"L2897801", 12.47, 1,    7329.52,  -44.3,    1.0181, 0, 0, 0, 0, 0, 0, 0, 0
"M1108527", 12.47, 2,    7435.45, -163.0,    1.0328, 0, 0, 0, 0, 0, 0, 0, 0
"M1009650", 12.47, 1,    7218.52,  -44.7,    1.0026, 2,    7391.98, -166.3,    1.0267, 3,    7249.46,   79.7,    1.0069
"E203026", 12.47, 1,    7218.52,  -44.7,    1.0026, 2,    7391.98, -166.3,    1.0267, 3,    7249.46,   79.7,    1.0069
"M1026779", 12.47, 1,    7219.26,  -44.9,    1.0027, 0, 0, 0, 0, 0, 0, 0, 0
