Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Line.LN5472341-1,   0.852938,  -176.67,          0,     0.00,          0,     0.00,          0,     0.00,   0.852938,  -176.67,   0.852966,     3.33,          0,     0.00,          0,     0.00,          0,     0.00,   0.852966,     3.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6260017-1,    6.63892,   -58.42,          0,     0.00,          0,     0.00,          0,     0.00,    6.63892,   -58.42,    6.63933,   121.56,          0,     0.00,          0,     0.00,          0,     0.00,    6.63933,   121.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6076245-1,    1.70026,   179.66,          0,     0.00,          0,     0.00,          0,     0.00,    1.70026,   179.66,    1.70074,    -0.40,          0,     0.00,          0,     0.00,          0,     0.00,    1.70074,    -0.40,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5562934-1,    59.5908,   -59.52,    14.9813,   178.91,    30.7483,    64.82,          0,     0.00,     36.642,   -39.37,    59.5912,   120.47,    14.9817,    -1.10,    30.7486,  -115.18,          0,     0.00,     36.642,   140.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN81098881-1,    1.37379,   -55.20,    1.45552,  -176.16,    1.44406,    67.02,          0,     0.00,   0.147444,   135.12,    1.37402,   124.77,    1.45575,     3.80,    1.44431,  -113.01,          0,     0.00,   0.147416,   -44.92,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5894226-3,    2.90742,    69.87,          0,     0.00,          0,     0.00,          0,     0.00,    2.90742,    69.87,    2.90799,  -110.17,          0,     0.00,          0,     0.00,          0,     0.00,    2.90799,  -110.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5623394-1,   0.858464,  -176.74,          0,     0.00,          0,     0.00,          0,     0.00,   0.858464,  -176.74,   0.858684,     3.21,          0,     0.00,          0,     0.00,          0,     0.00,   0.858684,     3.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6140775-5,     2.3147,    64.72,          0,     0.00,          0,     0.00,          0,     0.00,     2.3147,    64.72,    2.31534,  -115.34,          0,     0.00,          0,     0.00,          0,     0.00,    2.31534,  -115.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6440004-3,    1.45758,    64.46,          0,     0.00,          0,     0.00,          0,     0.00,    1.45758,    64.46,    1.45787,  -115.58,          0,     0.00,          0,     0.00,          0,     0.00,    1.45787,  -115.58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6413566-1,    11.6137,   -59.65,          0,     0.00,          0,     0.00,          0,     0.00,    11.6137,   -59.65,    11.6137,   120.34,          0,     0.00,          0,     0.00,          0,     0.00,    11.6137,   120.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6350546-1,    38.4561,   -55.62,    49.5113,  -176.90,    19.2202,    65.11,          0,     0.00,     25.957,  -139.15,    38.4562,   124.38,    49.5113,     3.10,    19.2203,  -114.89,          0,     0.00,     25.957,    40.85,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531325-1,    1.42592,   178.22,          0,     0.00,          0,     0.00,          0,     0.00,    1.42592,   178.22,     1.4272,    -1.98,          0,     0.00,          0,     0.00,          0,     0.00,     1.4272,    -1.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5623397-1,    2.54127,   -59.06,          0,     0.00,          0,     0.00,          0,     0.00,    2.54127,   -59.06,     2.5416,   120.91,          0,     0.00,          0,     0.00,          0,     0.00,     2.5416,   120.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN81018877-2,    2.21289,    63.89,          0,     0.00,          0,     0.00,          0,     0.00,    2.21289,    63.89,    2.21297,  -116.11,          0,     0.00,          0,     0.00,          0,     0.00,    2.21297,  -116.11,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532768-1,    5.95237,   -57.92,    57.7483,   179.67,    5.13026,    65.45,          0,     0.00,    52.4549,  -179.95,    5.95347,   122.04,    57.7496,    -0.33,    5.13093,  -114.59,          0,     0.00,    52.4548,     0.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6506305-2,   0.554059,  -171.41,          0,     0.00,          0,     0.00,          0,     0.00,   0.554059,  -171.41,   0.554391,     8.46,          0,     0.00,          0,     0.00,          0,     0.00,   0.554391,     8.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5472388-1,    2.82439,   179.74,          0,     0.00,          0,     0.00,          0,     0.00,    2.82439,   179.74,    2.82475,    -0.28,          0,     0.00,          0,     0.00,          0,     0.00,    2.82475,    -0.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6049823-1,    1.48025,    64.01,          0,     0.00,          0,     0.00,          0,     0.00,    1.48025,    64.01,    1.48053,  -116.04,          0,     0.00,          0,     0.00,          0,     0.00,    1.48053,  -116.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5829831-1,    33.7713,   -59.11,    71.3583,   178.09,    69.0742,    64.10,          0,     0.00,    42.7725,   123.83,     33.773,   120.88,    71.3601,    -1.91,    69.0752,  -115.90,          0,     0.00,    42.7725,   -56.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5562937-2,    1.29995,   -55.66,          0,     0.00,          0,     0.00,          0,     0.00,    1.29995,   -55.66,        1.3,   124.33,          0,     0.00,          0,     0.00,          0,     0.00,        1.3,   124.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6047574-2,    2.87781,    64.74,          0,     0.00,          0,     0.00,          0,     0.00,    2.87781,    64.74,    2.87785,  -115.26,          0,     0.00,          0,     0.00,          0,     0.00,    2.87785,  -115.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6170336-1,    1.42854,    68.64,          0,     0.00,          0,     0.00,          0,     0.00,    1.42854,    68.64,    1.42883,  -111.40,          0,     0.00,          0,     0.00,          0,     0.00,    1.42883,  -111.40,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6260020-1, 0.00902564,    47.46, 0.00945839,   -73.83,    1.48359,    65.01,          0,     0.00,     1.4851,    64.66, 0.00737315,  -132.53, 0.00772701,   106.17,    1.48388,  -115.05,          0,     0.00,    1.48512,  -115.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6137794-1,    4.58698,    67.09,          0,     0.00,          0,     0.00,          0,     0.00,    4.58698,    67.09,    4.58699,  -112.91,          0,     0.00,          0,     0.00,          0,     0.00,    4.58699,  -112.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6076266-1,    0.78004,   -60.05,          0,     0.00,          0,     0.00,          0,     0.00,    0.78004,   -60.05,   0.780153,   119.92,          0,     0.00,          0,     0.00,          0,     0.00,   0.780153,   119.92,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5956462-1,    6.27421,    66.62,          0,     0.00,          0,     0.00,          0,     0.00,    6.27421,    66.62,    6.27439,  -113.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.27439,  -113.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6229806-1,    1.28987,   -55.73,          0,     0.00,          0,     0.00,          0,     0.00,    1.28987,   -55.73,    1.29013,   124.22,          0,     0.00,          0,     0.00,          0,     0.00,    1.29013,   124.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5986961-1,    2.33985,    66.44,          0,     0.00,          0,     0.00,          0,     0.00,    2.33985,    66.44,       2.34,  -113.57,          0,     0.00,          0,     0.00,          0,     0.00,       2.34,  -113.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6383060-3,    32.5313,  -176.62,          0,     0.00,          0,     0.00,          0,     0.00,    32.5313,  -176.62,    32.5315,     3.38,          0,     0.00,          0,     0.00,          0,     0.00,    32.5315,     3.38,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6320337-1,    2.10064,   177.89,          0,     0.00,          0,     0.00,          0,     0.00,    2.10064,   177.89,    2.10069,    -2.11,          0,     0.00,          0,     0.00,          0,     0.00,    2.10069,    -2.11,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6440002-2,     18.907,   -59.77,          0,     0.00,          0,     0.00,          0,     0.00,     18.907,   -59.77,    18.9074,   120.23,          0,     0.00,          0,     0.00,          0,     0.00,    18.9074,   120.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5472393-1,    22.6747,   178.10,          0,     0.00,          0,     0.00,          0,     0.00,    22.6747,   178.10,    22.6749,    -1.91,          0,     0.00,          0,     0.00,          0,     0.00,    22.6749,    -1.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6228279-2,     1.5293,   -59.81,          0,     0.00,          0,     0.00,          0,     0.00,     1.5293,   -59.81,    1.52932,   120.19,          0,     0.00,          0,     0.00,          0,     0.00,    1.52932,   120.19,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6412356-1,    2.53739,   -50.81,    2.84182,  -171.20,     3.7481,    69.55,          0,     0.00,    1.11515,    84.63,    2.53794,   129.15,    2.84244,     8.76,    3.74848,  -110.48,          0,     0.00,    1.11509,   -95.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6375549-4,    6.36215,   -58.76,  0.0143698,   -74.30,    39.8521,    63.90,          0,     0.00,     36.801,    55.52,    6.36233,   121.23,  0.0137031,   105.70,    39.8522,  -116.10,          0,     0.00,     36.801,  -124.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865251-1,    2.62114,   -55.77,          0,     0.00,          0,     0.00,          0,     0.00,    2.62114,   -55.77,    2.62143,   124.21,          0,     0.00,          0,     0.00,          0,     0.00,    2.62143,   124.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5896731-1,    34.0445,    69.95,          0,     0.00,          0,     0.00,          0,     0.00,    34.0445,    69.95,    34.0449,  -110.05,          0,     0.00,          0,     0.00,          0,     0.00,    34.0449,  -110.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5501092-1,    5.55954,   -56.35,          0,     0.00,          0,     0.00,          0,     0.00,    5.55954,   -56.35,    5.55997,   123.63,          0,     0.00,          0,     0.00,          0,     0.00,    5.55997,   123.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6409781-2,    3.89415,   -58.12,          0,     0.00,          0,     0.00,          0,     0.00,    3.89415,   -58.12,    3.89424,   121.88,          0,     0.00,          0,     0.00,          0,     0.00,    3.89424,   121.88,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6103924-1,    2.55106,   -57.43,          0,     0.00,          0,     0.00,          0,     0.00,    2.55106,   -57.43,    2.55108,   122.57,          0,     0.00,          0,     0.00,          0,     0.00,    2.55108,   122.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077783-1,    2.58566,   -55.77,          0,     0.00,          0,     0.00,          0,     0.00,    2.58566,   -55.77,    2.58592,   124.21,          0,     0.00,          0,     0.00,          0,     0.00,    2.58592,   124.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108143-1,    59.5903,   -59.52,    14.9807,   178.91,     30.748,    64.83,          0,     0.00,     36.642,   -39.37,    59.5908,   120.48,    14.9813,    -1.09,    30.7483,  -115.18,          0,     0.00,     36.642,   140.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5593214-1,    6.93502,    65.48,          0,     0.00,          0,     0.00,          0,     0.00,    6.93502,    65.48,    6.93529,  -114.53,          0,     0.00,          0,     0.00,          0,     0.00,    6.93529,  -114.53,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5621841-2,     61.624,   -59.51,     14.978,   178.95,    34.5501,    64.81,          0,     0.00,     37.755,   -34.83,     61.624,   120.49,     14.978,    -1.05,    34.5501,  -115.19,          0,     0.00,     37.755,   145.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5742826-1,     2.0785,   -56.34,          0,     0.00,          0,     0.00,          0,     0.00,     2.0785,   -56.34,    2.07882,   123.63,          0,     0.00,          0,     0.00,          0,     0.00,    2.07882,   123.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6292465-3,    33.5607,    65.46,          0,     0.00,          0,     0.00,          0,     0.00,    33.5607,    65.46,    33.5608,  -114.54,          0,     0.00,          0,     0.00,          0,     0.00,    33.5608,  -114.54,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6379347-1,    32.8009,   178.03,          0,     0.00,          0,     0.00,          0,     0.00,    32.8009,   178.03,    32.8014,    -1.98,          0,     0.00,          0,     0.00,          0,     0.00,    32.8014,    -1.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5992960-1,    519.895,   -41.99,     515.51,  -163.65,    442.566,    84.02,          0,     0.00,    81.4903,  -139.65,    519.895,   138.01,     515.51,    16.35,    442.566,   -95.98,          0,     0.00,    81.4903,    40.35,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6196270-5,     2.0637,   -59.50,          0,     0.00,          0,     0.00,          0,     0.00,     2.0637,   -59.50,    2.06461,   120.41,          0,     0.00,          0,     0.00,          0,     0.00,    2.06461,   120.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5621833-2,    1.47584,    64.76,          0,     0.00,          0,     0.00,          0,     0.00,    1.47584,    64.76,    1.47587,  -115.24,          0,     0.00,          0,     0.00,          0,     0.00,    1.47587,  -115.24,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5562925-1,   0.836609,   177.97,          0,     0.00,          0,     0.00,          0,     0.00,   0.836609,   177.97,   0.836905,    -2.11,          0,     0.00,          0,     0.00,          0,     0.00,   0.836905,    -2.11,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5863691-2,    1.44996,    64.55,          0,     0.00,          0,     0.00,          0,     0.00,    1.44996,    64.55,     1.4501,  -115.47,          0,     0.00,          0,     0.00,          0,     0.00,     1.4501,  -115.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6350551-1,    8.35608,   177.78,          0,     0.00,          0,     0.00,          0,     0.00,    8.35608,   177.78,    8.35647,    -2.23,          0,     0.00,          0,     0.00,          0,     0.00,    8.35647,    -2.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6228303-2,    29.3087,   179.60,          0,     0.00,          0,     0.00,          0,     0.00,    29.3087,   179.60,    29.3088,    -0.40,          0,     0.00,          0,     0.00,          0,     0.00,    29.3088,    -0.40,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5472385-1,    2.84584,   179.64,          0,     0.00,          0,     0.00,          0,     0.00,    2.84584,   179.64,    2.84621,    -0.39,          0,     0.00,          0,     0.00,          0,     0.00,    2.84621,    -0.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5776669-3,    7.42042,   -58.44,          0,     0.00,          0,     0.00,          0,     0.00,    7.42042,   -58.44,    7.42045,   121.56,          0,     0.00,          0,     0.00,          0,     0.00,    7.42045,   121.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6505951-1,   0.884777,    64.73,          0,     0.00,          0,     0.00,          0,     0.00,   0.884777,    64.73,   0.885008,  -115.32,          0,     0.00,          0,     0.00,          0,     0.00,   0.885008,  -115.32,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6321409-1,    556.816,   -42.63,    540.398,  -164.01,    501.656,    82.30,          0,     0.00,    51.4034,  -145.86,    556.817,   137.37,    540.399,    15.99,    501.656,   -97.70,          0,     0.00,    51.4035,    34.14,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6316403-1,    1.31111,   -59.85,          0,     0.00,          0,     0.00,          0,     0.00,    1.31111,   -59.85,    1.31133,   120.12,          0,     0.00,          0,     0.00,          0,     0.00,    1.31133,   120.12,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6350552-1,    5.23235,   177.79,          0,     0.00,          0,     0.00,          0,     0.00,    5.23235,   177.79,     5.2326,    -2.22,          0,     0.00,          0,     0.00,          0,     0.00,     5.2326,    -2.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6199510-1,    1.46362,    66.45,          0,     0.00,          0,     0.00,          0,     0.00,    1.46362,    66.45,    1.46398,  -113.60,          0,     0.00,          0,     0.00,          0,     0.00,    1.46398,  -113.60,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6991381-6,    3.17655,   -59.45,          0,     0.00,          0,     0.00,          0,     0.00,    3.17655,   -59.45,    3.17683,   120.53,          0,     0.00,          0,     0.00,          0,     0.00,    3.17683,   120.53,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN247160_SW,   0.856653,  -176.74,          0,     0.00,          0,     0.00,          0,     0.00,   0.856653,  -176.74,   0.856654,     3.26,          0,     0.00,          0,     0.00,          0,     0.00,   0.856654,     3.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865224-1,   0.856625,  -176.73,          0,     0.00,          0,     0.00,          0,     0.00,   0.856625,  -176.73,   0.856653,     3.26,          0,     0.00,          0,     0.00,          0,     0.00,   0.856653,     3.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804812-1,    2.06621,   -59.86,          0,     0.00,          0,     0.00,          0,     0.00,    2.06621,   -59.86,     2.0665,   120.11,          0,     0.00,          0,     0.00,          0,     0.00,     2.0665,   120.11,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532748-6,     111.49,   -59.74,    75.4538,   178.01,    48.1338,    64.66,          0,     0.00,    50.1999,   -88.43,    111.491,   120.26,    75.4542,    -1.99,     48.134,  -115.34,          0,     0.00,    50.1999,    91.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6229798-1,    1.44046,   178.23,          0,     0.00,          0,     0.00,          0,     0.00,    1.44046,   178.23,    1.44294,    -2.14,          0,     0.00,          0,     0.00,          0,     0.00,    1.44294,    -2.14,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683808-1,     5.8807,   -59.34,          0,     0.00,          0,     0.00,          0,     0.00,     5.8807,   -59.34,    5.88105,   120.64,          0,     0.00,          0,     0.00,          0,     0.00,    5.88105,   120.64,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531326-1,    4.81716,    66.66,          0,     0.00,          0,     0.00,          0,     0.00,    4.81716,    66.66,    4.81747,  -113.36,          0,     0.00,          0,     0.00,          0,     0.00,    4.81747,  -113.36,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5472390-2,   0.516528,   -58.36,   0.559477,   179.59,   0.570277,    65.14,          0,     0.00,  0.0951324,   120.84,   0.516682,   121.58,   0.559654,    -0.47,   0.570372,  -114.92,          0,     0.00,  0.0951213,   -59.16,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774446-1,    7.94614,   177.93,          0,     0.00,          0,     0.00,          0,     0.00,    7.94614,   177.93,     7.9469,    -2.09,          0,     0.00,          0,     0.00,          0,     0.00,     7.9469,    -2.09,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6411406-1,   0.764588,   -59.69,          0,     0.00,          0,     0.00,          0,     0.00,   0.764588,   -59.69,   0.765001,   120.19,          0,     0.00,          0,     0.00,          0,     0.00,   0.765001,   120.19,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5835136-2,    2.02594,   -59.16,          0,     0.00,          0,     0.00,          0,     0.00,    2.02594,   -59.16,    2.02602,   120.83,          0,     0.00,          0,     0.00,          0,     0.00,    2.02602,   120.83,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5956473-1,    2.59943,   -59.34,          0,     0.00,          0,     0.00,          0,     0.00,    2.59943,   -59.34,    2.59967,   120.63,          0,     0.00,          0,     0.00,          0,     0.00,    2.59967,   120.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5985349-2,    2.12842,   179.64,          0,     0.00,          0,     0.00,          0,     0.00,    2.12842,   179.64,    2.12881,    -0.40,          0,     0.00,          0,     0.00,          0,     0.00,    2.12881,    -0.40,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5956471-3,    25.8438,   -59.10,    71.7501,   178.11,    22.8911,    64.86,          0,     0.00,     48.724,   178.92,     25.844,   120.90,    71.7503,    -1.89,    22.8912,  -115.14,          0,     0.00,     48.724,    -1.08,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865238-1,    18.4558,    64.38,          0,     0.00,          0,     0.00,          0,     0.00,    18.4558,    64.38,    18.4563,  -115.62,          0,     0.00,          0,     0.00,          0,     0.00,    18.4563,  -115.62,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6229832-1,    1.73777,    64.52,          0,     0.00,          0,     0.00,          0,     0.00,    1.73777,    64.52,    1.73778,  -115.48,          0,     0.00,          0,     0.00,          0,     0.00,    1.73778,  -115.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5926310-3,   0.769594,   -59.60,    2.10943,   178.50,   0.878474,    64.70,          0,     0.00,    1.35661,   172.13,   0.769722,   120.37,    2.10957,    -1.52,   0.878552,  -115.33,          0,     0.00,     1.3566,    -7.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6379374-1,    16.6989,   -59.96,          0,     0.00,          0,     0.00,          0,     0.00,    16.6989,   -59.96,    16.6997,   120.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.6997,   120.03,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5986925-3,    1.47043,    64.07,          0,     0.00,          0,     0.00,          0,     0.00,    1.47043,    64.07,    1.47072,  -115.97,          0,     0.00,          0,     0.00,          0,     0.00,    1.47072,  -115.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6229835-1,    22.8324,   -55.61,    44.3512,  -176.95,    4.89698,    65.25,          0,     0.00,    33.7879,  -150.27,    22.8331,   124.39,    44.3519,     3.05,    4.89745,  -114.78,          0,     0.00,    33.7879,    29.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6380842-1,    4.40741,    64.42,          0,     0.00,          0,     0.00,          0,     0.00,    4.40741,    64.42,     4.4077,  -115.59,          0,     0.00,          0,     0.00,          0,     0.00,     4.4077,  -115.59,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804798-3,    37.9827,   178.02,          0,     0.00,          0,     0.00,          0,     0.00,    37.9827,   178.02,    37.9828,    -1.98,          0,     0.00,          0,     0.00,          0,     0.00,    37.9828,    -1.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108128-3,   0.862497,    64.60,          0,     0.00,          0,     0.00,          0,     0.00,   0.862497,    64.60,    0.86261,  -115.42,          0,     0.00,          0,     0.00,          0,     0.00,    0.86261,  -115.42,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5502532-1,    79.6004,   -24.64,    94.0171,  -151.04,    83.9709,    95.09,          0,     0.00,    18.0546,   164.15,    79.6003,   155.36,     94.017,    28.96,    83.9709,   -84.91,          0,     0.00,    18.0545,   -15.85,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5894237-1,    2.92447,    64.48,          0,     0.00,          0,     0.00,          0,     0.00,    2.92447,    64.48,    2.92493,  -115.56,          0,     0.00,          0,     0.00,          0,     0.00,    2.92493,  -115.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804796-1,    27.2664,   178.10,          0,     0.00,          0,     0.00,          0,     0.00,    27.2664,   178.10,    27.2665,    -1.90,          0,     0.00,          0,     0.00,          0,     0.00,    27.2665,    -1.90,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5965099-8,    5.09221,   -58.73, 0.00274516,   -74.30,    36.0211,    63.88,          0,     0.00,      33.55,    56.54,     5.0924,   121.26, 0.00204144,   105.70,    36.0212,  -116.12,          0,     0.00,      33.55,  -123.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5958701-1,    3.95286,    64.35,          0,     0.00,          0,     0.00,          0,     0.00,    3.95286,    64.35,     3.9529,  -115.65,          0,     0.00,          0,     0.00,          0,     0.00,     3.9529,  -115.65,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN81353934-4,   0.021486,   169.54,          0,     0.00,          0,     0.00,          0,     0.00,   0.021486,   169.54, 4.06738E-012,  -116.57,          0,     0.00,          0,     0.00,          0,     0.00, 4.06738E-012,  -116.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865268-2,     24.478,   -59.10,    59.4238,   178.01,    48.6691,    63.98,          0,     0.00,    35.5394,   135.77,    24.4781,   120.90,    59.4239,    -1.99,    48.6691,  -116.02,          0,     0.00,    35.5394,   -44.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5803984-1,    14.2849,   177.86,          0,     0.00,          0,     0.00,          0,     0.00,    14.2849,   177.86,    14.2853,    -2.15,          0,     0.00,          0,     0.00,          0,     0.00,    14.2853,    -2.15,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
